Author,Comment,Time
@sugitoikuk135,Kebohongan sulit susah berbelit belit dan kejujuran sangat sederhana dan mudah.,2 hari yang lalu
@romiframika477,"Menutupi kebohongan
Itu sangat sulit. Harus di tutupi dgn kebohongan lagi.. Lama2 mati dlm keadaan berbohong",2 hari yang lalu
@teguhprihartono5880,"Luar biasa.Pak Khozinudin..
Sehat selalu Pak...",2 hari yang lalu
@ciris4181,Indonesia tidak kekurangan ahli tetap kekurangan orang yg jujur.,2 jam yang lalu
@gunadigunadi1848,Seribu ahli tak kan mampu menutupi kebohongan.satu kejujuran akan menghilangkan kebihongan,1 hari yang lalu
@MabruziahZie,"Semoga bisa adil dan tdk berat sebelah. 
Jgn lupa hrs transparan.",2 hari yang lalu
@sihyadi5736,"Ahmad khozinuddin mantab....
Jelas lugas g ada beban....",1 hari yang lalu
@ManUrath-t5u,Ahmad betul2 cerdas dan berani menegakkan kejujuran.,1 hari yang lalu
@edipurnomo7833,"pak ahmad pengacara yg sangat cerdas, apa yg disampaikan mudah di pahami dan masuk akal semua. sehat selalu pak",1 hari yang lalu
@MuhyusufDutacell,Ahmad konudin maju terus membelah ke benaran  Allah melindungimu di jln kebenaran,2 hari yang lalu
@EkoHadiHaryanto,7 ahli akan bertanggung jawab bukan hanya di dunia tapi juga di ahkirat kelak.,2 hari yang lalu
@Bintang-2222,"Jika barang asli pasti berani menunjukkan.,
Klu barang palsu pasti tidak berani menunjukkan,
itulah logika cara berfikir rakyat Indonesia sekarang sudah pintar.",1 hari yang lalu
@supraptisuwarsono7991,"ya Allah...lindungi para pejuang kebenaran, kejujuran dan keadilan d negri ini....dari para penegak hukum yg dzolim...",2 hari yang lalu
@isnawati-ii6pf,kejujuran adalah simbol dari sebuah negri yang berwibawa,2 hari yang lalu
@Anis16-pu1gd,Berapapun ahli yg di libatkan yg jelas harus jujur dan tidak berfihak sebelah dan berfihak pada kebenaran,2 hari yang lalu
@JualayamPotong-b1v,"Untuk menangani kasus ijazah Jokowi, perlu kejujuran dan transparan agar masyarakat tauhasil yg sebenarnya, berbuat jujurlah para penegak hukum.",5 jam yang lalu (diedit)
@ketutgunada4856,"Kebohongan yang terlindungi, pasti akan kentara juga.",2 hari yang lalu
@faruqhaqq7096,Mantap pak ahmad ... Semoga pak ahmad dan kawan2 dilindungi dan dimudah urusan-urusannya,1 hari yang lalu
@MuhammadHasan-rz3vx,Semoga Ahmad khonudin sehat dan kuat dgn semua ini Krn yg telah di perjuangkan adalah bagian di luar lanar semua dan semoga Allah membalas dengan keberanian untuk Ahmad   semua musuh musuh itu adalah dalam rangkaian yg di lobi,2 hari yang lalu
@abdsukri3505,Aria to kuntadi ini penasehat polri ga resplan samasekali cuma berpihak sebelah😂🙏🏻🙏🏻,3 jam yang lalu
@AdiSusanto-zn9yr,Sederhananya dmn ?,2 hari yang lalu
@bambangsumarno7210,"Betul, mereka mengulur waktu utk bisa mendapatkan ijazah yg asli dg segala cara.",2 hari yang lalu
@yantibahari4056,segera..g sabar tunggu di pengadilan !!,2 hari yang lalu
@anwarshodiq4434,Tunjukkan ijasah..langsung ketahuan,2 hari yang lalu
@MainanRazan,"bisa di bayangkan berpa dana yang dikucurkan untuk mereka yang sekompak ini😂😂😂 ,, Tae memang",2 hari yang lalu
@edwisporwoko,"​ @AdiSusanto-zn9yr 
sedrhana tggl tunjukn saja..
jgn cm fotocopi. knp slalu fotocopi, di duga it ijzh milik org lain. yg ditempel foto orang lain juga yg mirip mulyon0 dn org itu bukn dri UGM tp dri UI. .",2 hari yang lalu
@alexsander12a3,Wiii wiiii lulusan universitas pasar Pramuka😂😂😂😂ngaku wae loooo.... Kakeannn ngapusi,1 hari yang lalu
@m.solahudinm.solahudin5294,Orng bnar itu TDK berbelit belit  tinggl tunjukan ijazah n yg asli k publik,1 hari yang lalu
@espadarichie6680,"​ @AdiSusanto-zn9yr  hadehhh pake nanya sederhananya dmana ,kl guoblox jgn kelewatan mul 😂😂
Sederhananya tunjukan ijazzahnya blog",1 hari yang lalu
@AdiSusanto-zn9yr,"​ @edwisporwoko kamu percaya UGM apa roy cs. Ntar ditunjukin, tetap gak percaya",1 hari yang lalu
@arkijunior1680,Kebohongan rombongan panci🤣🤣🤣🤣🤣,1 hari yang lalu
@AbuyaHamdan,Termasuk ini salah satu cara mengulur waktu oleh kapolri​ @MainanRazan ,1 hari yang lalu
@rahelazalia3883,Tim tpua komen nih😅,1 hari yang lalu
@nandajohn6656,"KelIatan siapA yg berbelit. Awalnya ijazah, skripsi, KKN, sekarang pembuatan ijazah pasar pramuka",1 hari yang lalu
@sumiati1759,Yg bikin suliit ya  kebohongan  real,1 hari yang lalu
@didikdoken9413,​ @AdiSusanto-zn9yr tunjukin saja ijasahnya gitu aja kok repot ....😄,1 hari yang lalu
@galihfitrianto2050,rasional penjelasan pak ahmad khozinudin,1 hari yang lalu
@AhmadNusirwan07,"Dikasih yang sederhana minta yang berbelit belit, pihak UGM itu sudah Clear jika mau simpel",1 hari yang lalu
@sialebaou3191,​@edwisporwoko memang bisa bikin percaya?,1 hari yang lalu
@fanyazharazizah7433,"Itulah lerja polisi sangat memuak kan, tinggal sita ijazah asli nya, diuji forensik bersama dari ahli tiga pihak, pihak jokowi, pihak roy suryo dan pihak kepolisian beres, uang rakyat digunakan untuk bayar orsng gak profesional",1 hari yang lalu
@titinyuliana3841,DEWA PANCI,1 hari yang lalu
@wiwinsetyawan2980,Lingkaran mulyono,1 hari yang lalu
@muhamadsoleh9480,Wow banyak orang2 pandai yg komen disini skrinshot ah buat kenangan😂😂😂😂,19 jam yang lalu
@ArmiSatria-i2s,"Kalau sama orang waras mang mudah,tp sama rismon cs kebenaran seolah punya mereka..",18 jam yang lalu
@AwalUdin-t8r,kejujuran tidak ada mata hati tertutup oleh harta dan dunia  ajaran agama dan ahklak kurang sehingga tidak tahu mana yg jujur dan tidak 4:16 a​ @AdiSusanto-zn9yr ,15 jam yang lalu
@Kedaton_123,Gantung org ini,11 jam yang lalu
@husmanthovaz7122,Minus 😂AHLI NUJUM,2 hari yang lalu
@iqbcup5791,barisan sakit hati,2 hari yang lalu
@jamaltasik4141,Pak kasmudjo harus di bikin ahli jujur bulak balik galak lgi,2 hari yang lalu
@agusshalimwk8460,Betul sekali matipun masih berbohong jokowi  pura2 mati,2 hari yang lalu
@cepihusmana7121,Apa bisa malaikat yang nanyain dia di alam kubur juga dibohongi? 😂,2 hari yang lalu
@AjiSalim-fb4mr,Preettt,2 hari yang lalu
@yayanKusdiana-g3j,"REPUBLIK NGIBUL MULYONO..
CUMA SI NEGERI KONOHA...
SATU PRESIDEN,,, SATU KOMANDO BISA NGIBUL BERJAMAAH...😂",2 hari yang lalu
@Bambang-zj8xd,"​@cepihusmana7121Ya pastilah..walaupun  Jokowi mati..arwahnya akan bilang "" Saya sehat-sehat saja ""😂😂😂😂😂",2 hari yang lalu
@rinahapsari6445,​ @iqbcup5791  Barisan TERMULLL dari B0Y0LALI 🤣🤣🤣,2 hari yang lalu
