Author,Comment,Time,Cleaned_Comment,Sentiment_Score,Sentiment_Label
@sugitoikuk135,Kebohongan sulit susah berbelit belit dan kejujuran sangat sederhana dan mudah.,2 hari yang lalu,bohong sulit susah belit belit jujur sangat sederhana mudah,0,netral
@romiframika477,"Menutupi kebohongan
Itu sangat sulit. Harus di tutupi dgn kebohongan lagi.. Lama2 mati dlm keadaan berbohong",2 hari yang lalu,tutup bohong sangat sulit tutup dgn bohong lama mati dlm ada bohong,-5,negatif
@teguhprihartono5880,"Luar biasa.Pak Khozinudin..
Sehat selalu Pak...",2 hari yang lalu,luar biasapak khozinudin sehat selalu pak,1,positif
@ciris4181,Indonesia tidak kekurangan ahli tetap kekurangan orang yg jujur.,2 jam yang lalu,indonesia kurang ahli tetap kurang orang jujur,1,positif
@gunadigunadi1848,Seribu ahli tak kan mampu menutupi kebohongan.satu kejujuran akan menghilangkan kebihongan,1 hari yang lalu,ribu ahli tak kan mampu tutup kebohongansatu jujur hilang kebihongan,3,positif
@MabruziahZie,"Semoga bisa adil dan tdk berat sebelah. 
Jgn lupa hrs transparan.",2 hari yang lalu,moga adil tdk berat belah jgn lupa hrs transparan,-3,negatif
@sihyadi5736,"Ahmad khozinuddin mantab....
Jelas lugas g ada beban....",1 hari yang lalu,ahmad khozinuddin mantab jelas lugas g beban,0,netral
@ManUrath-t5u,Ahmad betul2 cerdas dan berani menegakkan kejujuran.,1 hari yang lalu,ahmad betul cerdas berani tegak jujur,2,positif
@edipurnomo7833,"pak ahmad pengacara yg sangat cerdas, apa yg disampaikan mudah di pahami dan masuk akal semua. sehat selalu pak",1 hari yang lalu,pak ahmad acara sangat cerdas apa sampai mudah paham masuk akal semua sehat selalu pak,3,positif
@MuhyusufDutacell,Ahmad konudin maju terus membelah ke benaran  Allah melindungimu di jln kebenaran,2 hari yang lalu,ahmad konudin maju belah benar allah lindung jln benar,2,positif
@EkoHadiHaryanto,7 ahli akan bertanggung jawab bukan hanya di dunia tapi juga di ahkirat kelak.,2 hari yang lalu,ahli tanggung jawab bukan dunia ahkirat kelak,1,positif
@Bintang-2222,"Jika barang asli pasti berani menunjukkan.,
Klu barang palsu pasti tidak berani menunjukkan,
itulah logika cara berfikir rakyat Indonesia sekarang sudah pintar.",1 hari yang lalu,barang asli berani tunjuk klu barang palsu berani tunjuk logika cara berfikir rakyat indonesia pintar,0,netral
@supraptisuwarsono7991,"ya Allah...lindungi para pejuang kebenaran, kejujuran dan keadilan d negri ini....dari para penegak hukum yg dzolim...",2 hari yang lalu,allahlindungi juang benar jujur adil d negri inidari tegak hukum dzolim,2,positif
@isnawati-ii6pf,kejujuran adalah simbol dari sebuah negri yang berwibawa,2 hari yang lalu,jujur simbol buah negri wibawa,1,positif
@Anis16-pu1gd,Berapapun ahli yg di libatkan yg jelas harus jujur dan tidak berfihak sebelah dan berfihak pada kebenaran,2 hari yang lalu,berapa ahli libat jelas jujur berfihak belah berfihak benar,2,positif
@JualayamPotong-b1v,"Untuk menangani kasus ijazah Jokowi, perlu kejujuran dan transparan agar masyarakat tauhasil yg sebenarnya, berbuat jujurlah para penegak hukum.",5 jam yang lalu (diedit),tangan kasus ijazah jokowi perlu jujur transparan masyarakat tauhasil benar buat jujur tegak hukum,2,positif
@ketutgunada4856,"Kebohongan yang terlindungi, pasti akan kentara juga.",2 hari yang lalu,bohong lindung kentara,-1,negatif
@faruqhaqq7096,Mantap pak ahmad ... Semoga pak ahmad dan kawan2 dilindungi dan dimudah urusan-urusannya,1 hari yang lalu,pak ahmad moga pak ahmad kawan lindung mudah urusanurusannya,1,positif
@MuhammadHasan-rz3vx,Semoga Ahmad khonudin sehat dan kuat dgn semua ini Krn yg telah di perjuangkan adalah bagian di luar lanar semua dan semoga Allah membalas dengan keberanian untuk Ahmad   semua musuh musuh itu adalah dalam rangkaian yg di lobi,2 hari yang lalu,moga ahmad khonudin sehat kuat dgn semua krn juang bagi luar lanar semua moga allah balas berani ahmad semua musuh musuh rangkai lobi,-1,negatif
@abdsukri3505,Aria to kuntadi ini penasehat polri ga resplan samasekali cuma berpihak sebelah😂🙏🏻🙏🏻,3 jam yang lalu,aria to kuntadi nasehat polri resplan samasekali pihak belah,-1,negatif
@AdiSusanto-zn9yr,Sederhananya dmn ?,2 hari yang lalu,sederhana dmn,0,netral
@bambangsumarno7210,"Betul, mereka mengulur waktu utk bisa mendapatkan ijazah yg asli dg segala cara.",2 hari yang lalu,betul ulur waktu utk dapat ijazah asli dg segala cara,0,netral
@yantibahari4056,segera..g sabar tunggu di pengadilan !!,2 hari yang lalu,segerag sabar tunggu adil,0,netral
@anwarshodiq4434,Tunjukkan ijasah..langsung ketahuan,2 hari yang lalu,tunjuk ijasahlangsung tahu,0,netral
@MainanRazan,"bisa di bayangkan berpa dana yang dikucurkan untuk mereka yang sekompak ini😂😂😂 ,, Tae memang",2 hari yang lalu,bayang berpa dana kucur kompak tae memang,1,positif
@edwisporwoko,"​ @AdiSusanto-zn9yr 
sedrhana tggl tunjukn saja..
jgn cm fotocopi. knp slalu fotocopi, di duga it ijzh milik org lain. yg ditempel foto orang lain juga yg mirip mulyon0 dn org itu bukn dri UGM tp dri UI. .",2 hari yang lalu,znyr sedrhana tggl tunjukn jgn fotocopi knp slalu fotocopi duga it ijzh milik org tempel foto orang mirip mulyon dn org bukn dri ugm tp dri ui,0,netral
@alexsander12a3,Wiii wiiii lulusan universitas pasar Pramuka😂😂😂😂ngaku wae loooo.... Kakeannn ngapusi,1 hari yang lalu,wiii wiiii lulus universitas pasar pramukangaku wae loooo kakeannn ngapusi,0,netral
@m.solahudinm.solahudin5294,Orng bnar itu TDK berbelit belit  tinggl tunjukan ijazah n yg asli k publik,1 hari yang lalu,orng bnar tdk belit belit tinggl tunjuk ijazah n asli k publik,1,positif
@espadarichie6680,"​ @AdiSusanto-zn9yr  hadehhh pake nanya sederhananya dmana ,kl guoblox jgn kelewatan mul 😂😂
Sederhananya tunjukan ijazzahnya blog",1 hari yang lalu,znyr hadehhh nanya sederhana dmana kl guoblox jgn lewat mul sederhana tunjuk ijazzahnya blog,0,netral
@AdiSusanto-zn9yr,"​ @edwisporwoko kamu percaya UGM apa roy cs. Ntar ditunjukin, tetap gak percaya",1 hari yang lalu,kamu percaya ugm apa roy cs ntar ditunjukin tetap percaya,1,positif
@arkijunior1680,Kebohongan rombongan panci🤣🤣🤣🤣🤣,1 hari yang lalu,bohong rombong panci,-2,negatif
@AbuyaHamdan,Termasuk ini salah satu cara mengulur waktu oleh kapolri​ @MainanRazan ,1 hari yang lalu,masuk salah satu cara ulur waktu kapolri,-2,negatif
@rahelazalia3883,Tim tpua komen nih😅,1 hari yang lalu,tim tpua komen,0,netral
@nandajohn6656,"KelIatan siapA yg berbelit. Awalnya ijazah, skripsi, KKN, sekarang pembuatan ijazah pasar pramuka",1 hari yang lalu,liat siapa belit awal ijazah skripsi kkn buat ijazah pasar pramuka,0,netral
@sumiati1759,Yg bikin suliit ya  kebohongan  real,1 hari yang lalu,bikin suliit bohong real,-1,negatif
@didikdoken9413,​ @AdiSusanto-zn9yr tunjukin saja ijasahnya gitu aja kok repot ....😄,1 hari yang lalu,znyr tunjukin ijasahnya kok repot,0,netral
@galihfitrianto2050,rasional penjelasan pak ahmad khozinudin,1 hari yang lalu,rasional jelas pak ahmad khozinudin,1,positif
@AhmadNusirwan07,"Dikasih yang sederhana minta yang berbelit belit, pihak UGM itu sudah Clear jika mau simpel",1 hari yang lalu,kasih sederhana minta belit belit pihak ugm clear simpel,0,netral
@sialebaou3191,​@edwisporwoko memang bisa bikin percaya?,1 hari yang lalu,memang bikin percaya,0,netral
