Author,Comment,Time,Cleaned_Comment
@sugitoikuk135,Kebohongan sulit susah berbelit belit dan kejujuran sangat sederhana dan mudah.,2 hari yang lalu,bohong sulit susah belit belit jujur sangat sederhana mudah
@romiframika477,"Menutupi kebohongan
Itu sangat sulit. Harus di tutupi dgn kebohongan lagi.. Lama2 mati dlm keadaan berbohong",2 hari yang lalu,tutup bohong sangat sulit tutup dgn bohong lama mati dlm ada bohong
@teguhprihartono5880,"Luar biasa.Pak Khozinudin..
Sehat selalu Pak...",2 hari yang lalu,luar biasapak khozinudin sehat selalu pak
@ciris4181,Indonesia tidak kekurangan ahli tetap kekurangan orang yg jujur.,2 jam yang lalu,indonesia kurang ahli tetap kurang orang jujur
@gunadigunadi1848,Seribu ahli tak kan mampu menutupi kebohongan.satu kejujuran akan menghilangkan kebihongan,1 hari yang lalu,ribu ahli tak kan mampu tutup kebohongansatu jujur hilang kebihongan
@MabruziahZie,"Semoga bisa adil dan tdk berat sebelah. 
Jgn lupa hrs transparan.",2 hari yang lalu,moga adil tdk berat belah jgn lupa hrs transparan
@sihyadi5736,"Ahmad khozinuddin mantab....
Jelas lugas g ada beban....",1 hari yang lalu,ahmad khozinuddin mantab jelas lugas g beban
@ManUrath-t5u,Ahmad betul2 cerdas dan berani menegakkan kejujuran.,1 hari yang lalu,ahmad betul cerdas berani tegak jujur
@edipurnomo7833,"pak ahmad pengacara yg sangat cerdas, apa yg disampaikan mudah di pahami dan masuk akal semua. sehat selalu pak",1 hari yang lalu,pak ahmad acara sangat cerdas apa sampai mudah paham masuk akal semua sehat selalu pak
@MuhyusufDutacell,Ahmad konudin maju terus membelah ke benaran  Allah melindungimu di jln kebenaran,2 hari yang lalu,ahmad konudin maju belah benar allah lindung jln benar
@EkoHadiHaryanto,7 ahli akan bertanggung jawab bukan hanya di dunia tapi juga di ahkirat kelak.,2 hari yang lalu,ahli tanggung jawab bukan dunia ahkirat kelak
@Bintang-2222,"Jika barang asli pasti berani menunjukkan.,
Klu barang palsu pasti tidak berani menunjukkan,
itulah logika cara berfikir rakyat Indonesia sekarang sudah pintar.",1 hari yang lalu,barang asli berani tunjuk klu barang palsu berani tunjuk logika cara berfikir rakyat indonesia pintar
@supraptisuwarsono7991,"ya Allah...lindungi para pejuang kebenaran, kejujuran dan keadilan d negri ini....dari para penegak hukum yg dzolim...",2 hari yang lalu,allahlindungi juang benar jujur adil d negri inidari tegak hukum dzolim
@isnawati-ii6pf,kejujuran adalah simbol dari sebuah negri yang berwibawa,2 hari yang lalu,jujur simbol buah negri wibawa
@Anis16-pu1gd,Berapapun ahli yg di libatkan yg jelas harus jujur dan tidak berfihak sebelah dan berfihak pada kebenaran,2 hari yang lalu,berapa ahli libat jelas jujur berfihak belah berfihak benar
@JualayamPotong-b1v,"Untuk menangani kasus ijazah Jokowi, perlu kejujuran dan transparan agar masyarakat tauhasil yg sebenarnya, berbuat jujurlah para penegak hukum.",5 jam yang lalu (diedit),tangan kasus ijazah jokowi perlu jujur transparan masyarakat tauhasil benar buat jujur tegak hukum
@ketutgunada4856,"Kebohongan yang terlindungi, pasti akan kentara juga.",2 hari yang lalu,bohong lindung kentara
@faruqhaqq7096,Mantap pak ahmad ... Semoga pak ahmad dan kawan2 dilindungi dan dimudah urusan-urusannya,1 hari yang lalu,pak ahmad moga pak ahmad kawan lindung mudah urusanurusannya
@MuhammadHasan-rz3vx,Semoga Ahmad khonudin sehat dan kuat dgn semua ini Krn yg telah di perjuangkan adalah bagian di luar lanar semua dan semoga Allah membalas dengan keberanian untuk Ahmad   semua musuh musuh itu adalah dalam rangkaian yg di lobi,2 hari yang lalu,moga ahmad khonudin sehat kuat dgn semua krn juang bagi luar lanar semua moga allah balas berani ahmad semua musuh musuh rangkai lobi
@abdsukri3505,Aria to kuntadi ini penasehat polri ga resplan samasekali cuma berpihak sebelah😂🙏🏻🙏🏻,3 jam yang lalu,aria to kuntadi nasehat polri resplan samasekali pihak belah
