Cleaned_Comment,Sentiment_Label
tuju,netral
pak ahmad keroyok tetap semangat pak ahmad,positif
alhamdulillah moga segera sidang tuk penjara gerombol tukang fitnah bayar,negatif
baca bro mirip tangan gus nur bambang tri,netral
siapa belakang saksi ahli tentu bukan roy suryo cs,positif
host lakilaki kritis berani,negatif
g perlu debat debat ugm bilang asli selesai,netral
penting kan tampil teruss duit ngalirrr terusss,positif
klau benar jokowi punya ijasah asli ugm wawasanya bangsa narasi ngomongnya lihat lebih intelek orang gagal paham alias bodonya,positif
tp klien nya pernh mennangmsuk bui smuasbntr rombong inisiap pk baju shopeeewkwkwk,netral
kl klo cari uang tinggal masuk kuasa bnyakakan sono bang,positif
tunjuk masyarakat bakal,netral
amiennnnnn cari duit buat anak moga berkah pakdari uang judol,netral
okgl kamu pakailogika balik,netral
benar,positif
bela benar mana orang bela kalah,netral
republik ngibul mulyono si negeri konoha satu presiden satu komando ngibul jamaah,netral
ahli bidang tutup bohong,netral
jangan wakil rakyat masalah pribadi ragu asli ijazah jokowi rela masuk penjara buat penting ijazah jokowi asli palsu lebih penting didik murah akses seluruh masyarakat supremasi tega hukum,positif
benar,positif
yup ijazah teliti pihak netral percaya serta dgn bukti dukung,positif
benar selalu sederhana bohong selalu rumit berkelokkelok leo tolstoy,netral
nasehat polri inget umur hati hati jujur lah bela benar,positif
benar mana kalian beda duga fitnah ingatt jejaak digital,netral
mf haa ternak jokowi and parcok genk solo bangkit alam kubur,netral
inget aryanto kasus vina,netral
bawa nama tuhan,netral
ahli libat utk putar balik pakta rangka kriminalisasi roy suryo cs tanya bareskrim polri buta lihat ijasah jokowi beda photo nya dgn orang jelas photo ijazah bukan photo jokowi photo orang polisi ikut tutup nutupi hingga putar balik pakta,netral
siap buiii royy cs biasa org indonesia kritik solusi,negatif
makin tutup tutup makin yakin ijazah duga kuat palsu,negatif
maksutnya keluwarga mu klompok sampah si tuduh pa ikut,negatif
jangan jangan balik nya wqdj,netral
santet solo kaleee,netral
sy salut dgn cerdas ahmad khozididin sgt fakta beliau ungkap,positif
oohh teman kerja p jokowi aceh,netral
kosinudin baju oren,netral
ahli mesti tiga pihak ahli pihak jokowi ahli pihak roy cs ahli netral luar negeri,positif
logis darimana sakit apa fakta tak kan guna,netral
byk cakapkelihatan tutup kbohongan ruwettunjukkanteliti selesai masalhini bukan politik boss ilmiah,netral
tompel cari panggung,netral
lalu pak jokowi benar,positif
ahmad mulai goyang tuhhh liat gk tenang mata ila ala tuhhh,positif
tujuh ahli independen pemeriksaanya live biar masyarakat biar percaya biar gaduh,positif
ahli jujur jangan ahli ngibul punya ijazah,positif
sgt cerdas mz akhmad maju trus orang waras sama,positif
memang pernah akhirat broini kayak gerombol halusinasi sakit hati anut jahiliyah,netral
aduh plis degak usah bawa nama allahyg juang kebeneran siaparoy suryoroy suryo tri jaman presiden sby pecat,netral
makanya tuduh ijzah palsu si roy rismon dasar bohong hari gerombol cari bohong baru tutup tuduh,negatif
klau banyak bohong ttg netral aryanto moga cepat kena azab allah,positif
bukan tangan gibran ajatapi giring gerombol tpua roy panci csnginep hotel prodeo,negatif
tp pernh menanggklien nya msuk penjara smuawkwke,negatif
bang ahmad khosinudin semangat sehat selalu tega selalu benar adil negeri,positif
buka lebar otak biar mampu berfikir cerdas realistis,positif
minta tunjukin tilil biar ditunjukin emnk langsung percaya si panci lebih baik selesai sidang biar masuk penjara panci wkwkwkwkwk bahagia,negatif
ahli rekayasa,positif
ahil geng panci presto ahli gaduh mulai panik geng panci presto,negatif
allah lagiallah allah asli allah asli hukum,positif
bpjs km palsu usut,negatif
yaharusnya libat fihak masalah ijazah fihak netral,negatif
banyak kok mas,positif
mantan hti fpi nie orang,netral
kata siapa,netral
orang bohong tak selamat akhirat,netral
definisi simpel berberlit belit ruwet logika siapa tuh,netral
bikin suliit bohong real,negatif
ntar dulu cuci muka,netral
adil bungsemua terang ahli uji sana,positif
tpua kumpul,netral
pribadi lebih yakin ijazah jokowi buat upp universitas pasar pramuka lama ugm tempat diri universitas gembel material,netral
lagi orang baik punya musuh,netral
kata nya produk pramungka selidik,netral
maju cari benar,positif
tuju,netral
ahli ahli biar jumlah nya keranjang bila tak jujur netralapalagi ahli bayar masuk genk mulyono,positif
rakyat mana kau anak abah,netral
semua bayar,netral
susah kata jujur pakar bohong tunjuk ijazah selesai,negatif
termul keluar yo termul,negatif
arianto honor kecil yasering undang tv onetapi cara ngomongnya ahli,negatif
bang khoxinudin cerdas omong nya masuk akal muda erti,positif
masing masing pihak bawa ahli imbang masing masing ahli,positif
betul,netral
moga allah selalu sama pak khozinudin hari,netral
bikin ribet mulyono,negatif
mulai ngelesss,netral
belumyooo ndaa kok tanya sayaaa,netral
termul satu biar saat benar tunjuk jalan,positif
memang rismon ahliahli apapunya sertifikasi ahliseorang ahli negara punya sertifikasidiakui negarakalau sertifikasi punya tp ngaku ngaku ahli nama stress,positif
tinggal uji porensik tranparanijazah asli bawabukan photo copybukan muter muter berdebattolong pak polisi tegak kan hukum jujur buka,positif
susahx krn nt km blg jujur klo roy cs d menangkn gmn klo emg asli ijazahx pk jkw ms mo d blg palsu br d blg jujur aneh bin ajaib,positif
loo kata yakin palsu ngapain rengek ngemis minta ditunjukin bukti adil,netral
wkwkwk,netral
iya lawan siapakekuasaan bropaling merekatidak takut kata jahat,negatif
wujud skripsi unggah ketidaksinkonan ucap mbah kasmujo bkn dosen bimbing dosen akademik ijazah i simetris huruf logo dgn ijazah sdh bukti,netral
dulu duga,netral
yakin izasa jokower palsu,netral
koar akal sehat padahal sakit,netral
tutup bohong butuh turun komponen elit negara lihat benar cukup mudah simpel tunjuk asli,positif
kl lah sampe ijazah asli kagak ditunjukin arti apa aslimah bangga loh ijazah logika jangan balik,positif
jujur mata hati tutup harta dunia ajar agama ahklak kurang mana jujur a znyr,positif
bohong mungkin tempat menang,negatif
terang benderang ijazah palsu,netral
indonesia siapa duit banyak salah bohong benar oknum polisi acara bahkan hakim,netral
betul sekali mati bohong jokowi pura mati,negatif
sllu mnemukan fakta benar stiap jelas pak ahmad khozinudinrunut dasar data fakta,positif
pastilahwalaupun jokowi matiarwahnya bilang sehatsehat,netral
tunggu penjara heeee,negatif
lo ketawa arti lo anak sd,netral
ahmad betul cerdas berani tegak jujur,positif
bang ahmad bicara cerah orang mudah paham problem,positif
tetap semangat bang khozinudinalloh senantiasa lindung beri menang bangsa rakyat indonesia,positif
indonesia kurang ahli tetap kurang orang jujur,positif
rakyat indonesia penasaran rela masuk penjara semua asal kan jokowi tunjuk kan sekali publik ijazah keramat,positif
jangan lawan orang baik orang baik lindung tuhan maha esa rakyat cerdas waras,positif
roisuryo cs orang jujur orang awam nilai mana jujur mana bohong,positif
diaaaaam jempe neng shut up,netral
mana pikir penting fulus,positif
acara hti,netral
blm bukti kok bilang fakta,netral
kata yakin palsu ngapain rengek ngemis minta ditunjukin kumpulin siapin bukti utk adil,netral
sungguh dosa tuduh jokowi bohong kasus masuk adil nyata izajah jokowi palsu tobat jangan benci dgn keluarga jokowi jadi hakim,negatif
ternak abah nambah onta kerbau,netral
dapat tdk pihak siapa tuju cari benar bukan benar,positif
diaaaaaam,netral
lihat nanty hasil,netral
terus bohong kalian tutup jujur kalian bungkam tidak adil tonton parah hukum tegak hukum indonesia urus sepele kelar ruweeeeett,negatif
op si udin ndrojos gk mutuuuucuma rame swaranya doang mercondhor dhor hilang,netral
harus rakyat semua satu tuntut jokowi lihat ijazah,netral
aryanto sutadi lebih pantas sebut wakil nasehat jokowi nasehat kapolrikarena ucap sangat netral,positif
usah banyak bacot jokowi dulu selesai tunjukin ijazah nya,positif
betul klo asli baru tuntut balik mudah sekali kan putus pangadilan,positif
ijazah blum jelas aslikok orang tuduh fitnahhadehhhhh,netral
publik jujur,positif
acara dzalim moga mur putus allah laknat bela zalim amin,negatif
yng bilang asli sah tutup amplop jelas jelas ijasah jokowi ragu asli anehadakah ijasah tekuk tekuk lipat moga juang bpk bpk yng juang kejujurankeadilan beri mudah,positif
pki gerwani komen,netral
malaikat maut munkar nakir mungkin buat percaya aku bela ulama ulama mana ulama apa cari ustad baik sprti ustad salaf,positif
justru suka fitnah org hati hati pk jokowi klwrga nga pernah caci maki klmpok,positif
undang nasehat kapolri ternak mulyono,netral
ijazah nya tunjuk biar rakyat,netral
maju hotel prodeo,positif
aamiin yra,netral
hal pihak jokowi pihak roy punya dana sewa akhli,netral
banyak orang pandai komen sini skrinshot ah buat kenang,positif
komen ehhh duluin,netral
orng bnar tdk belit belit tinggl tunjuk ijazah n asli k publik,positif
klo tuhan sesuai mu apa nyalahkan tuhan,positif
lanjut bang roy cs sama acara butuh benar bukan kebohongankami semua jujur siapa jujur terima siapa orang jangan hindar tanggung jawab,positif
bohong tuduh ijazah palsu apa dasar roy panci nyata ijazah jokowi palsu mana kosinudin bela bohong bawa agama tp nyari duit berapasih bayar dgn roy panci rakyat indonesia dapat kosinudin bayar tinggi banting tulang bahkan kelah adil krn tahan bayar cukup lumayan,negatif
dampak rusa jokibul luar biasaahh,netral
ketawa bakal saksi,netral
bohong atas bohong smoga sjh slaah harap,negatif
kluu gtu gmn klu pkmu polisi,netral
khosinudin suruh mandi biar glowing,netral
znyr bohong tanya kasmudjo,negatif
ariyanto diammmmmmm,netral
jujur panci cs kata bodoh,negatif
betul bang khozinudin semangat moga sukses ijazah tunjuk adil ijazah aslipalsu tetap hakim adil,positif
barang asli berani tunjuk klu barang palsu berani tunjuk logika cara berfikir rakyat indonesia pintar,netral
moga roy cs kali lebaran takbir hotel gratis yo menang,positif
betul orang orang sebar fitnah cela maki bapak jokowi tanggung jawab dunia akhirat semua adil sidang akhirat,negatif
tompel hti,netral
nguji netrap gk,netral
alloh menang kan benar alloh lindung juang benar,positif
buta jujur krna uang,netral
omong nya termul munntahhhh aku ngedabrus mobil ghoib esemka ngateliiiiiii,netral
inti h t i f p i alir sesat,negatif
udin tompel keok,netral
bareskrim publikasi ijazah jkw publik cegah guna ijazah palsu utk jabat publik preciden padahal orang publik hak ungkap asli palsu ijazah jabat publik mantan sesuai tentu pasal f pasal j ayat uud pasal ayat huruf b uu kip pasal ayat huruf b uu kip arti pak rismon cs pidana tentang pasal pasal sebut atas,negatif
pak ahmad,netral
sh krn sifat dengki sirik krn bpk ahmad khozinudin acara sholeh cerdas jga jujur,positif
harus polri undang kelompok roy suryo kelompok pak jokowi bareskrim periksa ijazah trus hasil periksa umum media bkn ijazah dinampakin media,netral
sidang jalan seudlon mau gmna salah jokowi hukum penjara thn baru puas gerombol orang sakit hati masuk semua hti fpi,negatif
tetap yakin ah orang kata benar manusia milik benar satu nabi muhammad saw jangan tendensius satu golong hti,positif
enak buat kata palsu org rasa dgn susah paya mendptkan ijasa dibulil semua org benci milik ijasa rasa beban pikiranx orang tuduh rasa balik,negatif
enak y calon jabat ijasah nya palsu bekerjasama oknum pajabat kait lolos jabat nyadi curiga ijasah nya palsu gmw nunjukkin ijasah nya bagai alassan bikin heboh nasiona,negatif
ayo gerak cepat polisi biar ad tersangkabiar g gaduh d nkri,positif
knapa utk pasal ujar benci ahli tpi utk uji asli ijazah bhkn ijazah asli kagak cek ahli bhsa semua jejak digital jokowi kok jelas bngt berat belah polri,positif
brisiiiiiiik tompel,netral
lgahli jujur ahli kebihongan,positif
ahli tanggung jawab bukan dunia ahkirat kelak,positif
hukum akhirat paling adil dunia sandiwara,netral
orang baca lihat koran kryang edisi terbit muat hasil sipenmarufakkehutanan ugmnaah nama orang lulus cantum koran kr,netral
wqdj datang hari mulut kunci kata tak kata tangan apa laku kata kaki langkah bila hari tanggung jawab tiba,netral
taeeekkk,netral
aamiin robb alaamiin,netral
stuju cara adil klir terang bnderang,netral
bohong lindung kentara,negatif
seperti berat belah,negatif
adil tempat tepat uji jujur tahu siapa jujur siapa bohong bohong bakal masuk penjara,netral
pak ahmad moga pak ahmad kawan lindung mudah urusanurusannya,positif
ahli sambo ahli vina cirebon ahli kanjuruhan ahli jessica,positif
juta tki ada d malaysia rata bilang ijazah jokowi palsu d cetak d pasar pramuka,netral
pasti dulu izajah asli baru masuk pasal pasal,positif
woiiii kan jokowi bilang adil tunjuk hakim minta lucu kalian,netral
ah memang berani pernah kuliah,netral
kl rakyat mana justru si mulyono harus tinggal buktiin ijasahnya memang asli trus penjara roy suryo cs gampang nyata gx si mulyono nyewa acara bayar ribeeettttttttttttt,netral
orang koq nasehat polri nyata kurang rasionalitas minim ilmu attitude kurang baik,negatif
ternak muncul,netral
nyambung uji kubutpua lapor kepolisianyg hak uji kepolisianhasilnya final asliini negara hukum boss semua aturanya tpua jangan enak jidat buat atur sendiri sesuai mau merekalapor polisi tp percaya hasilnyapelapornya panggil klarifikasi hilang tel bumi,positif
bela bohong biasa dusta,negatif
luar biasa tinggal nunggu gilir reuni bareng teman,negatif
kubu jokowi arti sdh atur,netral
mudah paham sma anak abah,positif
seru,netral
iya tuju,netral
orang ksatria hadap masalah sendiri libat orang rakyat jelata jadi korban memang salah mending seleh aku ksatria pak jokowi laku,negatif
logika orang cerdasyg rusak nkrimenfitnah bodoh rakyat indonesia,negatif
waaaah lawan nasehat kapolri masuk jokomania,negatif
dewa panci laknatullah,negatif
sayang pak kasmujo tua pikun tak buat saksi,netral
lb tunjuk ijazah sesuai perlu butuh siapa minta ngapain nunjukin orang mesti,netral
diketawain anak sd saksi ahli sumpah beri terang benar sesuai ahli luar dr tanggung jawab tuduh tuduh,positif
pantas polri bnyak oknum nasehat nya sprti,positif
kuat jin,netral
g sabar liat roy panci dkk baju orange,negatif
duga kuat rezmon alumni yamaguchi gadungan,negatif
enak y calon jabat ijasah nya palsu bekerjasama oknum pajabat kait lolos jabat nyadi curiga ijasah nya palsu gmw nunjukkin ijasah nya bagai alassan bikin heboh nasiona,negatif
maju ros biar malu kamu grom olanmu,netral
benar mudah bohong susah,netral
nty klo polisi ngomong percaya makanya biar ahli ngomong ahli dr sana wkwkkw ribet bngt,positif
wr asa milu kemarin capres kok dikit sangka anak abah lupa ama ganjar,negatif
benar simpel tinggal pihak sekolah jujur bohong,positif
sabar bossss biar waktu jwb yaaaa tunggu adil,netral
cari benar jangan cari menang kalah,positif
ahli kalu uji ternak nya mulyono omong kosong,positif
fitnah g nyadar,negatif
asemka ekonomi meroketsampai kasmojo bohong lhojd bikin dosa siapaklow bohong baiksajajangan lihat api asap lihat asal kebaranyakau bela jokowi bs benar bs salah akal kau,negatif
pak kasmudjo bikin ahli jujur bulak balik galak lgi,positif
borong panci nya pa,negatif
tul betul,netral
suara enak dengar layak blantik,positif
normal jokowi manusia manusia anjng pelihara jokowi juang,netral
mmg benar asli moga bela pak jokowi sehat selamattapi klau bohong tutup bohong moga cepat ajab dunia hina hina hina nya aamiin,negatif
parah narasi kwakkakak,negatif
kena gatal lama nya semua nya n setruk lama nya aamiin,negatif
allah tunjuk kuasa lindung juang tegak benar,positif
siapa bohong moga segera azab dg pedih pedih,negatif
dampak baik ikut klo kira rugi ngacir prinsip,positif
moga segera seragam oranye,netral
kok km menyipulkan ituemang km teman tuhankm bocor dr tuhan pak jokowi licik,negatif
ternak mulyono tuh,netral
benar cari jln nya sendiri se lubang jarum,positif
islam taat pimpin meski beliau buruk,netral
netral,netral
penjara orang bohong dosa numpuk,negatif
manusia tukang bohong benar tdk percaya sirat dlm benak masyarakat sll bohong,negatif
allah gerah lah roy panci cs cpt masuk buiibiar kacung pda demo kasiah kacungng nya panci cs biar dpt lontong satu biji,negatif
km beli,netral
jelas palsu,negatif
jlan busuk msuk bui amiiiin,negatif
mudah ahli bukan bayar bukan pesan khawatir kyk sandiwara karna lama penuh sandiwara,netral
ariyanto bukan nasihat kapolri jubirnya mulyono,netral
bohong rombong panci,negatif
betul memang pihsk gugat gugat hsrus menghsdili persidsngan terima hasil putus saling adu data,netral
zt dukung jujur bang kayak,positif
kamu aj ganti becus,netral
betul langsung bongkar ijazah aslipalsu laku libat penjara beres selesai masalah kira brp biaya keluar si milik ijazah utk bayar ormas lawyer polisi hakim jaksa ugm buzernya,negatif
hahahahaha bp singkat padat kental komplit,negatif
luar biasa bang ahmadaangat gamblang sekali cara ngomongnyamasyakat insyaallah menilaisemangat bang ahmadsemoga beri sehat selaludemi juang kebenranaminnn,netral
orang kan teriak diaaam,netral
cari kyai bersihmending sumpsh apes turun tdk usah proses hukum,netral
znyr nya percaya karna semua manusia biasa salah,negatif
ternak mulyono muncul,netral
diiaaammmmmm pak arianto merangkapb jubir jokowi,netral
ew maaf kaka tdk terlalu penting ikut berita soal ijazah krna orang bohong tdk pernah jujur biar jga jaga pola hidup sehat allah swt sdah takdir sakit tdk pernah alih orang sakit,netral
benci serah cari salah orang suka,negatif
peettlah,netral
lah kan kenyataanya pak jokowi bener trus gmn urusanya,netral
sakit ati,negatif
muntah,negatif
pak jokowi beli asli lhobukan palsu,netral
lihat adil sesuai kata jokowor tinjukkan ijazah mika sidang do minta hakim hakim tdk minta tunjuk ijazah jokowor arti jelas sekongkol proses hukum tdk adil adil busuk,netral
inti h t i f p i alir sesat,negatif
ahli pihak roy surya cs libat,positif
butuh ahli butuh lihat ijasahnya,positif
ugm bilang asli ugm keluar kok percaya logika berfikirnya,netral
aamiin,netral
anak abah kurang sehat semua sdm rendah bener dewe padahal udeh tau bikin fitnah bikin berita bohong fakta he he he he,negatif
pak arianto ingat tugas apa bukan porsi,netral
libat pihak netral biar mslh nya terima dua belah pihak,netral
saksi ahli tp jangan masuk angin pak,positif
tuduh dikoment,netral
maju masuk bui,positif
aamiin,netral
moga acara roy suryo cs tambah cerdas orang orang bela bohong tetap tahan bohong,netral
dalil mentok ternak jokowi hti gerombol sakit hati maklumin lah kan sdmnya rendah rendah,negatif
jawab acara jkw ariyanto makin sangat jauh substansi awal ijazah palsungelantur kesanasini,negatif
panik bangg minta lepas biasaa teriak kok skrng beda bang lebih baik lepas orang salah hukum orang tak salah gentle lah bang,negatif
acara rs sangka tuh,netral
fakta aju roy suryo cs logis terang benderang sangat dragukan ijasah jokowi pakai logika kuasa lewat polisi bangun argumen narasi via tenaga ahli akhir nya logika akal sehat masyarakat paksa terima logika kuasa,positif
tuju sekali statemen om khozinudin saksi ahli suap biar menang,positif
kasus sengaja upaya pernah masuk adil pihak pro kontra semua,positif
ahli goa,positif
pr serah kerja ahli nya jangan thn kmrn indonesia kena prank pimpin citra sederhana rakyat kata punya gelar insinyur,positif
modaaar,netral
aamin,netral
harus lu tinggal mars pluto sono gj,netral
alkhamdulillah maju truuuus tim gerombol cptmsuuuuk bui amiiiin,positif
rakyat mana orang sakit hati pasu nya,netral
knp hti dn fpi kalah mulu lengser sejak skarang,negatif
preeeeet,netral
benar sekali biasa selalu orang orang jujur rakyat rugi,positif
acara konsisten moga allah swt mudah perjuanngannya tunjuk benar aamiin,positif
memang ragu masuk kamu pak tua,negatif
tunggu d pengadiln bkn km d lwn d minta ijazah lsg km perlhtkn apa km jamin klo d perlhtkn lsg diam g mungkin celahx dp g akhirx mkx d adil n buka unt umum klhtan nt sp sll buat hoax sp benar n sppun slh hrs d hukum krn neg kt neg hukun bkn hukum rimba,netral
asa gaduh kok,netral
makanya tuduh ijzah palsu si roy rismon dasar bohong hari gerombol cari bohong baru tutup tuduh,negatif
pei kata jokowi mega presiden bukan rakyat,netral
cerah segi mana nama nasehat hukum sperti,positif
moga allah swt hadir kan org jujur amanah iklasjika benar tdk tuk dunia akhirat temu,positif
sekali palsu kiamat tetap palsu ijazah jokowi,negatif
halah tunjuk ijasae beres gk,netral
la trus lapor dukun punya ahli sertifikat apa sertifikat pramuka,netral
aamiin,netral
tengah tau bngt pihak kl tegak hukum hrs netral hrs semangat bukti dr sumber iniudh jelas ending nya,positif
mulyono msi tanggung negara ttp ujung uang rakyat,netral
bukti tuduh sana tuduh sini,netral
datang ahli forensik luar negeri dg saksi jga ahli forensik masing biar tuntas,positif
putus adil kata khasinuddin lain waktu minta tunjuk selesai usah repotrepot acara adil,negatif
harus gitufaktanya ijasah jokowi entah mana,netral
komenan tanggung jawab dunia akherat,netral
wkwkwkwk,netral
konoha ingat kasus ekspor cpo rugi negara trilyun lebih adil justru dakwa vonis bebas nyata usut jaksa bukti hakim panitera suap dakwa lewat acara cari orang jujur negeri konoha ibarat cari jarum jerami,positif
elu diaaammmmtua bangka,netral
allah moga nasehat akhir hayat beri sempat taubat jalan mu anda beliau engkau beri hidayah aku serah semua mu,netral
banyak banyak istiqhfarnggk usah neko nekohidup nggk lama kok,positif
banyak ahli kian kubur halu fitnator akadmisi,positif
komentar basi saking punya argumen,negatif
gantung org,negatif
tuju dr hamid awaludin indikasi pak jokowi menang,positif
acara kalah,negatif
orang hti percaya kocak rubah pancasila negara khilafah,netral
acara spesialis gagalklien nya pernh menangwkwkwk,netral
gitulah kl urus raja ngibul isi kl ngibul rekayasa,netral
mana tobat kan umat nabi psi,netral
panik panik panik lah masak enggak,negatif
indonesia orang baik jujur cerdas,positif
ngatur lu ahhhh,netral
aamiiin,netral
kampus pasar pramuka,netral
pak jokowi baik bapak tampil tunjuk ijazah langsung ajak diskusi tuduh ijazah bapak benerpasti semua selesaidan sita perhati bangsa,positif
ahli rismon tifa suryo kok ajak hasil palsu ajak,netral
simpel bikin ribet hadir jokowi serta teman kuliah bawa ijazah periksa bareng ahli beres,netral
kamu percaya ugm apa roy cs ntar ditunjukin tetap percaya,positif
udin tompel keok,netral
bang ahmad tunjuk berani kuat argumen logis jaga hukum akhlak jaga hukum nilai moral agama maju bang,positif
ternak mulyono logika sederhana nyampe otak,netral
ngomong opo lu,netral
lo bilang polisi adil pihak jokowi kan wkwkwk knp lapor nato aj klo,netral
bpk aryanto budak kuasa,netral
gigi kuning tompeltim provokasi,negatif
kozinudin cuman pinter ngomong esensi omong,netral
segera taubat ariyantoingat umur,netral
anak abah g pr caya lah,netral
